Muestra;Nombre;E (m);N (m);Cota (m);Tipo muestra;pH;pH (2012-2013);T;CE;LDO;Fecha;Na (mg/L);K (mg/L);Ca (mg/L);Mg (mg/L);Sr (mg/L);Cl (mg/L);HCO3 (mg/L);SO4 (mg/L);CO3 (mg/L);SiO2 (mg/L)
PT01;Serrano Cerro David Fuentes;668458;5934513;5.6;Superficial;6.68;;14.6;575;6.48;10-01-2020;35.30;2.14;35.10;22.00;N.D.;63.90;134.00;71.00;N.D.;32.50
PT02;Santa Julia;667273;5935176;104.4;Superficial;6.07;7.42;13.8;123;6.99;10-01-2020;16.20;1.00;1.30;2.80;N.D.;24.00;14.00;N.D.;N.D.;16.40
PT03;Baroa Bajo;667092;5934698;91.5;Superficial;6.65;;14.4;264;7.35;10-01-2020;22.20;0.96;6.40;11.50;N.D.;36.20;15.60;N.D.;N.D.;12.70
PT04;Juan Chavez;667134;5934497;44.0;Superficial;7.74;;14.1;292;10.26;10-01-2020;25.40;1.60;16.30;10.00;N.D.;40.40;48.20;11.00;11.70;10.40
PT05;La Torre;667467;5934581;15.2;Superficial;7.51;;14.6;238;10.23;10-01-2020;24.10;1.66;9.25;8.50;N.D.;33.30;34.40;11.40;3.60;12.80
PT06;San Juan Tumbes;669992;5942898;33.9;Superficial;7.33;;15.5;128.4;9.95;10-01-2020;15.20;1.42;2.94;2.30;N.D.;20.40;25.00;N.D.;N.D.;16.60
PT07;La Gloria;666594;5934432;70.0;Superficial;6.91;5.61;14.5;369;9.14;13-01-2020;26.50;2.56;25.20;7.00;N.D.;33.70;55.50;14.00;N.D.;13.80
PT08;Los Cipreses;666821;5935257;103.3;Superficial;6.15;5.90;14.9;392;8.61;13-01-2020;35.00;1.02;7.65;10.50;N.D.;49.30;9.76;N.D.;N.D.;9.89
PT09;Vista Hermosa;667706;5935697;104.3;Superficial;6.63;6.09;13.9;231;8.57;13-01-2020;14.30;0.55;2.36;4.50;N.D.;26.20;17.70;N.D.;N.D.;11.90
PT10;28 de Octubre Cerro Cornou;668050;5935607;61.3;Superficial;6.27;6.08;18.6;219.1;9.95;13-01-2020;16.90;0.60;2.04;8.50;N.D.;27.70;22.90;N.D.;N.D.;15.20
PT11;Estrella Azul;667842;5937264;97.7;Superficial;6.07;;15.1;292;7.64;13-01-2020;24.50;1.10;2.65;9.00;N.D.;37.60;12.80;N.D.;N.D.;15.50
PT12;Pozo Tola;668185;5937578;125.0;Subterráne;6.51;;15.6;328;6.35;13-01-2020;22.80;12.70;9.50;4.50;N.D.;31.90;30.50;39.70;N.D.;9.26
