P_muestras_Codigo,E,N
PT10,-73.1184981714723,-36.7103664985518
PT03,-73.1290222222944,-36.7187305560144
PT08,-73.1321804745901,-36.7137369249377
PT06,-73.098386111455,-36.6443333330084
PT02,-73.1270972216078,-36.7143833331504
PT01,-73.1136944439842,-36.7201527776924
PT09,-73.1223666667884,-36.709613888758
PT05,-73.1247962729727,-36.7197112340816
PT04,-73.1285127710718,-36.7205343338326
PT07,-73.1345428914693,-36.7212082536109
PT11,-73.1211921297069,-36.6954763107505
PT12,-73.117423171372,-36.6925853881861
