codigo,E,N,nombre,Na (mg/L),K (mg/L),Ca (mg/L),Mg (mg/L),Cl (mg/L),HCO3 (mg/L),SO4 (mg/L),CO3 (mg/L),SiO2 (mg/L)
PT01,-73.1136944439842,-36.7201527776924,Serrano Cerro David Fuentes,35.3,2.14,35.1,22.0,63.9,134.0,71.00,,32.5
PT02,-73.1270972216078,-36.714383333150394,Santa Julia,16.2,1.0,1.3,2.8,24.0,14.0,,,16.4
PT03,-73.12902222229441,-36.7187305560144,Baroa Bajo,22.2,0.96,6.4,11.5,36.2,15.6,,,12.7
PT04,-73.1285127710718,-36.7205343338326,Juan Chavez,25.4,1.6,16.3,10.0,40.4,48.2,11.00,11.70,10.4
PT05,-73.1247962729727,-36.7197112340816,La Torre,24.1,1.66,9.25,8.5,33.3,34.4,11.40,3.60,12.8
PT06,-73.098386111455,-36.6443333330084,San Juan Tumbes,15.2,1.42,2.94,2.3,20.4,25.0,,,16.6
PT07,-73.1345428914693,-36.7212082536109,La Gloria,26.5,2.56,25.2,7.0,33.7,55.5,14.00,,13.8
PT08,-73.13218047459009,-36.7137369249377,Los Cipreses,35.0,1.02,7.65,10.5,49.3,9.76,,,9.89
PT09,-73.12236666678841,-36.709613888758,Vista Hermosa,14.3,0.55,2.36,4.5,26.2,17.7,,,11.9
PT10,-73.1184981714723,-36.7103664985518,28 de Octubre Cerro Cornou,16.9,0.6,2.04,8.5,27.7,22.9,,,15.2
PT11,-73.12119212970691,-36.6954763107505,Estrella Azul,24.5,1.1,2.65,9.0,37.6,12.8,,,15.5
PT12,-73.11742317137201,-36.6925853881861,Pozo Tola,22.8,12.7,9.5,4.5,31.9,30.5,39.70,,9.26
